check_id,command,command_index,required_before,order_status,output_files,output_status,status,interpretation,safety_boundary
RO01,python3 -m src.experiments.defense_action_attribution_audit --fail-on-error,30,python3 -m src.experiments.defense_effectiveness_ledger | python3 -m src.experiments.run_tsra_ablation | python3 -m src.experiments.reactive_defense_tradeoff_audit --fail-on-error,pass,outputs/report_tables/defense_action_attribution_audit.csv | outputs/report_tables/defense_action_attribution_audit.md,pass,pass,"Defense attribution needs event-level ledger evidence, ablation evidence, and reactive-window evidence before it can classify all TSRA-R actions.","closed simulation reproduction-order audit only; no RF, exploit, or live network action"
RO02,python3 -m src.experiments.closed_loop_episode_replay,35,python3 -m src.experiments.attack_defense_response_audit | python3 -m src.experiments.operator_alerts | python3 -m src.experiments.defense_effectiveness_ledger,pass,outputs/report_tables/closed_loop_episode_replay.csv | outputs/report_tables/closed_loop_episode_replay.md,pass,pass,"Closed-loop replay must run after response coverage, operator alert, and defense effectiveness evidence exist.","closed simulation reproduction-order audit only; no RF, exploit, or live network action"
RO03,python3 -m src.experiments.agent_coordination_latency_audit --fail-on-error,36,python3 -m src.experiments.attack_defense_response_audit | python3 -m src.experiments.closed_loop_episode_replay | python3 -m src.experiments.operator_alerts,pass,outputs/report_tables/agent_coordination_latency_audit.csv | outputs/report_tables/agent_coordination_latency_audit.md,pass,pass,Coordination latency is only meaningful after episode replay and response evidence have been regenerated.,"closed simulation reproduction-order audit only; no RF, exploit, or live network action"
RO04,python3 -m src.experiments.agent_engagement_scorecard,37,python3 -m src.experiments.closed_loop_episode_replay | python3 -m src.experiments.agent_decision_margin_audit | python3 -m src.experiments.defense_effectiveness_ledger,pass,outputs/report_tables/agent_engagement_scorecard.csv | outputs/report_tables/agent_engagement_scorecard.md,pass,pass,"The engagement scorecard joins closed-loop episodes, attack decision margins, and defense-event metric movement.","closed simulation reproduction-order audit only; no RF, exploit, or live network action"
RO05,python3 -m src.experiments.mission_thread_summary --fail-on-error,38,python3 -m src.experiments.closed_loop_episode_replay | python3 -m src.experiments.agent_engagement_scorecard | python3 -m src.experiments.defense_action_attribution_audit --fail-on-error,pass,outputs/report_tables/mission_thread_summary.csv | outputs/report_tables/mission_thread_summary.md,pass,pass,"Mission threads should be generated only after replay, scorecard, and action attribution are fresh.","closed simulation reproduction-order audit only; no RF, exploit, or live network action"
RO06,python3 -m src.experiments.ml_attack_decision_path_audit --fail-on-error,42,python3 -m src.experiments.agent_engagement_scorecard,pass,outputs/report_tables/ml_attack_decision_path_audit.csv | outputs/report_tables/ml_attack_decision_path_audit.md,pass,pass,The ML attack path audit uses engagement scorecard feedback to close the AURA-ML selection loop.,"closed simulation reproduction-order audit only; no RF, exploit, or live network action"
RO07,python3 -m src.experiments.ml_defense_decision_path_audit --fail-on-error,43,python3 -m src.experiments.agent_coordination_latency_audit --fail-on-error,pass,outputs/report_tables/ml_defense_decision_path_audit.csv | outputs/report_tables/ml_defense_decision_path_audit.md,pass,pass,The ML defense path audit uses coordination latency evidence to prove closed-loop response effect.,"closed simulation reproduction-order audit only; no RF, exploit, or live network action"
RO08,python3 -m src.experiments.ml_red_blue_interaction_audit --fail-on-error,44,python3 -m src.experiments.ml_attack_decision_path_audit --fail-on-error | python3 -m src.experiments.ml_defense_decision_path_audit --fail-on-error | python3 -m src.experiments.agent_coordination_latency_audit --fail-on-error,pass,outputs/report_tables/ml_red_blue_interaction_audit.csv | outputs/report_tables/ml_red_blue_interaction_audit.md,pass,pass,The red-blue interaction audit should run after both ML path audits and the shared coordination evidence exist.,"closed simulation reproduction-order audit only; no RF, exploit, or live network action"
RO09,python3 -m src.experiments.adaptive_defense_decision_path_audit --fail-on-error,26,python3 -m src.experiments.run_adaptive_memory,pass,outputs/report_tables/adaptive_defense_decision_path_audit.csv | outputs/report_tables/adaptive_defense_decision_path_audit.md,pass,pass,"The adaptive defense path audit reads adaptive-memory trace outputs, so it must run after the adaptive memory comparison regenerates those traces.","closed simulation reproduction-order audit only; no RF, exploit, or live network action"
RO10,python3 -m src.experiments.agent_stress_scenario_audit --fail-on-error,45,python3 -m src.ml.train_tsra_detector --rows 5000 | python3 -m src.experiments.ml_red_blue_interaction_audit --fail-on-error | python3 -m src.experiments.attack_defense_response_audit,pass,outputs/report_tables/agent_stress_scenario_audit.csv | outputs/report_tables/agent_stress_scenario_audit.md,pass,pass,"Stress scenario audit should run after detector training, response evidence, and the ML red-blue interaction audit so robustness evidence is generated before final gates.","closed simulation reproduction-order audit only; no RF, exploit, or live network action"
