edge_id,source,target,interaction,primary_evidence,evidence_count,validation_status,purpose,safety_boundary
E01,AgentRuntime,AURA/AURA-ML,"DecisionTrace runtime wraps observe, memory, tools, candidates, selected action, and feedback",outputs/report_tables/agent_interface_manifest.csv,4,verified,Proves attack agents are not just direct function calls.,"closed simulation collaboration graph only; no RF, exploit, or live network action"
E02,AURA/AURA-ML,MissionSimulator,AttackEvent simulated effects are emitted into the closed mission environment,outputs/report_tables/aura_coa_cards.csv,15,verified,Connects red-team decisions to simulator-visible attack effects.,"closed simulation collaboration graph only; no RF, exploit, or live network action"
E03,MissionSimulator,TSRA-R/TSRA-R-ML,MissionState and metric signals are observed by defense agents,outputs/report_tables/agent_decision_trace_summary.csv,122,verified,Shows blue-team decisions are driven by runtime observations.,"closed simulation collaboration graph only; no RF, exploit, or live network action"
E04,TSRA-R/TSRA-R-ML,MissionSimulator,DefenseEvent records feed bounded mitigation back into the simulator,outputs/report_tables/operator_alerts.csv,53,verified,Connects defense decisions to simulator-visible response actions.,"closed simulation collaboration graph only; no RF, exploit, or live network action"
E05,MissionSimulator,Mission Metrics,MetricSnapshot and battle timeline expose mission impact movement,outputs/report_tables/battle_timeline.csv,48,verified,Keeps the red/blue loop tied to measurable mission effects.,"closed simulation collaboration graph only; no RF, exploit, or live network action"
E06,Mission Metrics,AURA/AURA-ML,Metric feedback appears in AURA DecisionTrace rows,outputs/report_tables/agent_decision_trace_summary.csv,93,verified,Shows attack choices can be interpreted through observed mission state and feedback.,"closed simulation collaboration graph only; no RF, exploit, or live network action"
E07,Mission Metrics,TSRA-R/TSRA-R-ML,Metric feedback appears in TSRA-R DecisionTrace rows,outputs/report_tables/agent_decision_trace_summary.csv,122,verified,Shows defense choices can be interpreted through observed mission state and feedback.,"closed simulation collaboration graph only; no RF, exploit, or live network action"
E08,AURA Capabilities,TSRA-R Capabilities,Attack-defense coverage maps each attack capability to defense capabilities,outputs/report_tables/attack_defense_coverage.csv,4,verified,Makes red/blue responsibilities explicit for separate team development.,"closed simulation collaboration graph only; no RF, exploit, or live network action"
E09,AttackEvent,DefenseEvent,Response audit verifies required defenses are active or timely,outputs/report_tables/attack_defense_response_audit.csv,10,verified,Prevents static mappings from replacing actual event-time response evidence.,"closed simulation collaboration graph only; no RF, exploit, or live network action"
E10,DefenseEvent,Operator Alerts,Defense events are translated into operator-facing mission rationale,outputs/report_tables/operator_alerts.csv,53,verified,Turns TSRA-R output into human-readable response guidance.,"closed simulation collaboration graph only; no RF, exploit, or live network action"
E11,Mission Metrics,Verifier/Package,Metric gates and mission decomposition are included in final verification,outputs/report_tables/metric_gate_summary.csv | outputs/report_tables/mission_impact_decomposition.csv,47,verified,Keeps scalar claims backed by gates and component-level evidence.,"closed simulation collaboration graph only; no RF, exploit, or live network action"
E12,Attack/Defense/Alert Evidence,Closed-Loop Episode Replay,"Each attack episode is joined to response coverage, operator alerts, and metric movement",outputs/report_tables/closed_loop_episode_replay.csv,10,verified,"Shows attack, defense, alert, and metric progression in one reviewable episode record.","closed simulation collaboration graph only; no RF, exploit, or live network action"
E13,DefenseEvent,Defense Effectiveness Ledger,Each TSRA-R defense event is joined to local metric movement before and after response,outputs/report_tables/defense_effectiveness_ledger.csv,53,verified,Turns defensive actions into event-level effectiveness evidence.,"closed simulation collaboration graph only; no RF, exploit, or live network action"
E14,AgentMemory,Verifier/Package,Memory and belief-state audit verifies evolving memory plus previous-action carryover,outputs/report_tables/agent_memory_belief_audit.csv,9,verified,"Proves memory is active loop state, not just a static trace field.","closed simulation collaboration graph only; no RF, exploit, or live network action"
E15,AgentTool,Verifier/Package,"Tool usage audit verifies tool invocation, input summaries, and output summaries",outputs/report_tables/agent_tool_usage_audit.csv,24,verified,Proves tools are invoked inside agent decision loops.,"closed simulation collaboration graph only; no RF, exploit, or live network action"
E16,DecisionTrace,Verifier/Package,"Decision causality audit verifies selected actions against candidates, tools, and score evidence",outputs/report_tables/agent_decision_causality_audit.csv,399,verified,Proves selected actions are grounded in recorded decision evidence.,"closed simulation collaboration graph only; no RF, exploit, or live network action"
E17,Submission Readiness Audit,Verifier/Package,"Readiness audit verifies branch policy, reproduction commands, agent evidence, package inputs, and handoff docs",outputs/report_tables/submission_readiness_audit.csv,10,verified,Connects teammate handoff and packaging readiness to the same evidence bundle.,"closed simulation collaboration graph only; no RF, exploit, or live network action"
