time_sec,side,action,target,reason,expected_or_observed
20.0,TSRA-R,stale_badge,,,until=110.0
50.0,TSRA-R,stale_badge,,,until=140.0
60.0,AURA,queue_pressure,SATCOM,increase non-critical queue occupancy,expected impact=0.5661906158627639
65.0,TSRA-R,priority_reroute,,critical traffic waiting behind video load,until=135.0
65.0,TSRA-R,video_throttle,,protect critical traffic capacity,until=125.0
75.0,TSRA-R,pace_switch,LTE,SATCOM degraded beyond mission threshold,until=175.0
80.0,TSRA-R,stale_badge,,,until=170.0
100.0,TSRA-R,video_throttle,,protect critical traffic capacity,until=160.0
110.0,AURA,queue_pressure,LTE,increase non-critical queue occupancy,expected impact=0.9392629297958226
125.0,TSRA-R,priority_reroute,,critical traffic waiting behind video load,until=195.0
135.0,TSRA-R,video_throttle,,protect critical traffic capacity,until=195.0
140.0,TSRA-R,stale_badge,,,until=230.0
155.0,TSRA-R,pace_switch,MESH,fallback link degraded beyond mission threshold,until=255.0
160.0,AURA,queue_pressure,MESH,increase non-critical queue occupancy,expected impact=1.0
170.0,TSRA-R,priority_reroute,,critical traffic waiting behind video load,until=240.0
170.0,TSRA-R,video_throttle,,protect critical traffic capacity,until=230.0
170.0,TSRA-R,stale_badge,,,until=260.0
200.0,TSRA-R,stale_badge,,,until=290.0
205.0,TSRA-R,priority_reroute,,critical traffic waiting behind video load,until=275.0
205.0,TSRA-R,video_throttle,,protect critical traffic capacity,until=265.0
210.0,AURA,queue_pressure,MESH,increase non-critical queue occupancy,expected impact=1.0
235.0,TSRA-R,priority_reroute,,critical traffic waiting behind video load,until=305.0
235.0,TSRA-R,pace_switch,LTE,fallback link degraded beyond mission threshold,until=335.0
240.0,TSRA-R,video_throttle,,protect critical traffic capacity,until=300.0
260.0,AURA,queue_pressure,LTE,increase non-critical queue occupancy,expected impact=0.956
265.0,TSRA-R,stale_badge,,,until=355.0
275.0,TSRA-R,video_throttle,,protect critical traffic capacity,until=335.0
295.0,TSRA-R,stale_badge,,,until=385.0
