experiment,trace_id,time_sec,agent,policy,selected_type,selected_actions,candidate_count,top_candidate_actions,matched_candidate_actions,required_tools,observed_tools,candidate_support,tool_support,score_or_threshold_support,causal_status,issues,safety_boundary
E3_rule_aura,aura-trace-00001,0,AURA,rule_attack_score,no_op,no_op,0,none,no_op,none,none,pass,pass,pass,pass,,"closed simulation decision-causality audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00002,10,AURA,rule_attack_score,no_op,no_op,0,none,no_op,none,none,pass,pass,pass,pass,,"closed simulation decision-causality audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00003,20,AURA,rule_attack_score,no_op,no_op,0,none,no_op,none,none,pass,pass,pass,pass,,"closed simulation decision-causality audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00004,30,AURA,rule_attack_score,no_op,no_op,0,none,no_op,none,none,pass,pass,pass,pass,,"closed simulation decision-causality audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00005,40,AURA,rule_attack_score,no_op,no_op,0,none,no_op,none,none,pass,pass,pass,pass,,"closed simulation decision-causality audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00006,50,AURA,rule_attack_score,no_op,no_op,0,none,no_op,none,none,pass,pass,pass,pass,,"closed simulation decision-causality audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00007,60,AURA,rule_attack_score,attack_event,queue_pressure,4,queue_pressure,queue_pressure,"generate_attack_candidates, estimate_detectability, estimate_candidate_effect","generate_attack_candidates, estimate_candidate_effect, estimate_detectability",pass,pass,pass,pass,,"closed simulation decision-causality audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00008,70,AURA,rule_attack_score,no_op,no_op,0,none,no_op,none,none,pass,pass,pass,pass,,"closed simulation decision-causality audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00009,80,AURA,rule_attack_score,no_op,no_op,0,none,no_op,none,none,pass,pass,pass,pass,,"closed simulation decision-causality audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00010,90,AURA,rule_attack_score,no_op,no_op,0,none,no_op,none,none,pass,pass,pass,pass,,"closed simulation decision-causality audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00011,100,AURA,rule_attack_score,no_op,no_op,0,none,no_op,none,none,pass,pass,pass,pass,,"closed simulation decision-causality audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00012,110,AURA,rule_attack_score,attack_event,bandwidth_limit,5,"bandwidth_limit, queue_pressure",bandwidth_limit,"generate_attack_candidates, estimate_detectability, estimate_candidate_effect","generate_attack_candidates, estimate_candidate_effect, estimate_detectability",pass,pass,pass,pass,,"closed simulation decision-causality audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00013,120,AURA,rule_attack_score,no_op,no_op,0,none,no_op,none,none,pass,pass,pass,pass,,"closed simulation decision-causality audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00014,130,AURA,rule_attack_score,no_op,no_op,0,none,no_op,none,none,pass,pass,pass,pass,,"closed simulation decision-causality audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00015,140,AURA,rule_attack_score,no_op,no_op,0,none,no_op,none,none,pass,pass,pass,pass,,"closed simulation decision-causality audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00016,150,AURA,rule_attack_score,no_op,no_op,0,none,no_op,none,none,pass,pass,pass,pass,,"closed simulation decision-causality audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00017,160,AURA,rule_attack_score,attack_event,bandwidth_limit,5,"bandwidth_limit, queue_pressure",bandwidth_limit,"generate_attack_candidates, estimate_detectability, estimate_candidate_effect","generate_attack_candidates, estimate_candidate_effect, estimate_detectability",pass,pass,pass,pass,,"closed simulation decision-causality audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00018,170,AURA,rule_attack_score,no_op,no_op,0,none,no_op,none,none,pass,pass,pass,pass,,"closed simulation decision-causality audit only; no RF, exploit, or live network action"
