alignment_id,scoring_area,competition_goal,implemented_mechanism,agent_or_component,evidence_files,evidence_status,verification_notes,next_gate
A01,Defense mission grounding,Show a realistic defense mission environment instead of a generic IT scenario.,"Hybrid SATCOM disruption is modeled as C4ISR data-trust degradation: critical latency, stale COP, priority inversion, and trusted stale exposure.",MissionSimulator / scenario docs,docs/DAH2026_TSRA_v3_realistic_attack_rewrite.md | src/simulator/mission_simulator.py | outputs/figures/aura_tsra_architecture.png,verified,all evidence files present,"Any new feature must map to SATCOM, C4ISR, COP, PACE, or critical traffic."
A02,Attack scenario,Make the attack technically concrete while staying inside a safe simulation boundary.,"AURA generates attack-effect candidates, estimates mission impact and detectability, then emits simulated AttackEvent records.",AURA,src/aura/candidate_generator.py | src/aura/impact_estimator.py | src/aura/rule_decision_engine.py | outputs/report_tables/aura_coa_cards.csv,verified,outputs/report_tables/aura_coa_cards.csv rows=15,"Attack improvements must produce COA cards and never introduce live RF, exploit, or packet actions."
A03,Defense architecture,"Tie detection, blocking, and recovery directly to the AURA attack effects.","TSRA-R selects priority reroute, stale badge, video throttle, and PACE switch actions; ablation isolates which action protects which mission metric, and PACE transition audit explains fallback switching context; operator alerts translate DefenseEvent records into mission-readable response guidance; defense effectiveness ledger joins each DefenseEvent to local before/after mission metric movement.",TSRA-R,src/tsra_r/rule_defender.py | src/tsra_r/ml_defender.py | src/tsra_r/adaptive_defender.py | src/experiments/pace_transition_audit.py | src/experiments/operator_alerts.py | src/experiments/defense_effectiveness_ledger.py | outputs/batch/tsra_action_ablation_summary.csv | outputs/report_tables/pace_transition_audit.csv | outputs/report_tables/operator_alerts.csv | outputs/report_tables/defense_effectiveness_ledger.csv,verified,outputs/batch/tsra_action_ablation_summary.csv rows=5; outputs/report_tables/pace_transition_audit.csv rows=6; outputs/report_tables/operator_alerts.csv rows=56; outputs/report_tables/defense_effectiveness_ledger.csv rows=56,Defense changes must be checked against mission impact plus at least one action-specific metric.
A04,AI agent architecture,Show agent structure beyond direct Python policy calls.,"AgentRuntime wraps observe, memory summary, tool calls, candidate scoring, selected action, DecisionTrace, and feedback updates.",AgentRuntime / AgentMemory / ToolRegistry / DecisionTrace,src/agents/runtime.py | src/agents/memory.py | src/agents/tools.py | src/agents/schema.py | src/experiments/validate_event_contracts.py | src/experiments/trace_quality_audit.py | src/experiments/agent_loop_replay.py | src/experiments/agent_interface_manifest.py | src/experiments/agent_capability_matrix.py | outputs/report_tables/agent_decision_trace_summary.csv | outputs/report_tables/agent_contract_validation.csv | outputs/report_tables/decision_trace_quality_audit.csv | outputs/report_tables/agent_loop_replay.csv | outputs/report_tables/agent_interface_manifest.csv | outputs/report_tables/agent_capability_matrix.csv,verified,outputs/report_tables/agent_decision_trace_summary.csv rows=215; outputs/report_tables/agent_contract_validation.csv rows=49; outputs/report_tables/decision_trace_quality_audit.csv rows=9; outputs/report_tables/agent_loop_replay.csv rows=8; outputs/report_tables/agent_interface_manifest.csv rows=4; outputs/report_tables/agent_capability_matrix.csv rows=10,Agent changes must keep attack/defense interfaces and capabilities explicit.
A05,Attack-defense cooperation,Make the red and blue agents observable and explicitly connected by capability coverage.,"Battle timeline and incident summary merge AURA events, TSRA-R events, trace reasons, and metric movement for E5 and E7; attack-defense coverage maps each AURA capability to the TSRA-R capabilities and validation gates that cover it; response audit checks whether required defenses are active or emitted within the response window; the collaboration graph summarizes the closed-loop agent cooperation evidence; episode replay joins attack, defense, alert, and metric movement per attack event; the defense effectiveness ledger adds event-level response-to-metric movement evidence.",Battle timeline / Incident summary / Coverage / Response audit / Episode replay / Collaboration graph,src/experiments/battle_timeline.py | src/experiments/incident_summary.py | src/experiments/closed_loop_episode_replay.py | src/experiments/defense_effectiveness_ledger.py | src/experiments/agent_collaboration_graph.py | src/experiments/attack_defense_coverage.py | src/experiments/attack_defense_response_audit.py | outputs/report_tables/battle_timeline.csv | outputs/report_tables/incident_summary.csv | outputs/report_tables/closed_loop_episode_replay.csv | outputs/report_tables/defense_effectiveness_ledger.csv | outputs/report_tables/agent_collaboration_graph.csv | outputs/report_tables/attack_defense_coverage.csv | outputs/report_tables/attack_defense_response_audit.csv,verified,outputs/report_tables/battle_timeline.csv rows=49; outputs/report_tables/incident_summary.csv rows=10; outputs/report_tables/closed_loop_episode_replay.csv rows=10; outputs/report_tables/defense_effectiveness_ledger.csv rows=56; outputs/report_tables/agent_collaboration_graph.csv rows=13; outputs/report_tables/attack_defense_coverage.csv rows=4; outputs/report_tables/attack_defense_response_audit.csv rows=10,"New experiments must preserve attack events, defense events, trace reasons, metric snapshots, attack-to-defense capability coverage, and required response timing."
A06,ML contribution,"Use ML where it changes a bounded agent decision, not as decoration.",AURA uses impact prediction for candidate ranking; ML TSRA-R opens reactive defense windows from anomaly probability; GPU MPS training is kept as a separate scale experiment.,AURA ML / TSRA-R ML,src/ml/train_aura_impact_model.py | src/ml/train_tsra_detector.py | src/ml/train_aura_mps_mlp.py | outputs/models/aura_impact_model_metrics.json | outputs/models/tsra_detector_metrics.json | outputs/models/aura_mps_mlp_metrics.json,verified,all evidence files present,"ML claims must state task, metric, model role, and whether the model changes closed-loop behavior."
A07,Repeatable evidence,Avoid single-seed claims by keeping repeated experiments and resilience metrics.,"E1-E7 experiments are run as 30-seed batches with mission impact, latency, stale exposure, priority inversion, resilience gain summaries, and component-level mission impact decomposition.",Experiment runners,src/experiments/run_all.py | src/experiments/run_batch.py | src/experiments/metric_gate.py | src/experiments/mission_impact_decomposition.py | outputs/batch/repeated_experiment_summary.csv | outputs/batch/resilience_gain_summary.csv | outputs/report_tables/mission_impact_decomposition.csv | outputs/report_tables/metric_gate_summary.csv,verified,outputs/batch/repeated_experiment_summary.csv rows=7; outputs/batch/resilience_gain_summary.csv rows=4; outputs/report_tables/mission_impact_decomposition.csv rows=35; outputs/report_tables/metric_gate_summary.csv rows=11,Metric claims must pass metric_gate_summary and point to batch or dedicated experiments.
A08,Adaptive defense,Show memory-backed defense adaptation without changing the baseline experiments.,AdaptiveTSRA-R keeps core defenses enabled and gates optional actions from recent AgentMemory evidence.,AdaptiveTSRA-R,src/tsra_r/adaptive_defender.py | src/experiments/run_adaptive_memory.py | outputs/batch/adaptive_memory_summary.csv | outputs/figures/adaptive_memory_comparison.png,verified,outputs/batch/adaptive_memory_summary.csv rows=2,Adaptive changes must be isolated from E1-E7 baseline and checked in adaptive_memory_summary.
A09,Safety boundary,Keep the prototype clearly separated from real-world offensive tooling.,"All attack outputs are simulated effects inside a local mission simulator; safety text is repeated in COA, timeline, incident, and package artifacts.",Safety guardrails,README.md | outputs/report_tables/aura_coa_cards.csv | outputs/report_tables/battle_timeline.csv | outputs/report_tables/incident_summary.csv,verified,all evidence files present,"Reject any change that adds operational RF parameters, exploit code, or live network actions."
A10,Team handoff and reproducibility,Make the shared branch reproducible for another teammate without using main for active work.,"README commands, package builder, manifest, final verifier, and process docs define the shared workflow.",README / packaging / QA scripts,README.md | scripts/build_submission_package.py | scripts/verify_submission_state.py | docs/process/SUBMISSION_PACKAGE.md | docs/process/GITHUB_WORKFLOW.md,verified,all evidence files present,"Before handoff, rebuild the package and run verify_submission_state on branch hbin."
