experiment,trace_id,time_sec,agent,policy,selected_event_id,selected_event_type,action,decision_signal,event_link_status,metric_feedback_signal,attribution_or_outcome_signal,feedback_class,feedback_status,issues,safety_boundary
E5_rule_aura_tsra_r,tsra-r-trace-00005,20,TSRA-R,rule_defense_full,def-00001,defense_event,stale_badge,eligible=True; ready=True; enabled=True; reason=mark stale COP objects as lower trust,linked,before=0.150417; after=0.169756; delta=0.0193396; latency_delta=0; trusted_stale_delta=0; priority_delta=0.0386792,observed_effect=held; attribution_class=ablation_supported; attribution_status=pass; primary_metric=trusted_stale_exposure,defense_held,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,tsra-r-trace-00011,50,TSRA-R,rule_defense_full,def-00002,defense_event,stale_badge,eligible=True; ready=True; enabled=True; reason=mark stale COP objects as lower trust,linked,before=0.169756; after=0.162583; delta=-0.00717296; latency_delta=1.2; trusted_stale_delta=0; priority_delta=-0.0636792,observed_effect=held; attribution_class=ablation_supported; attribution_status=pass; primary_metric=trusted_stale_exposure,defense_held,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,aura-trace-00007,60,AURA,rule_attack_score,atk-00001,attack_event,queue_pressure,score=0.543691; expected_mission_impact=0.566191; target=SATCOM; reason=increase non-critical queue occupancy,linked,before=0.170655@t=60; peak=0.170655; after=0.08084@t=140; delta=-0.0898148; peak_latency=2.4; peak_trusted_stale=0.125; peak_priority_inversion=0.190476,response=complete; outcome=contained after peak degradation; reduction_from_peak=0.0626556,attack_contained_by_defense,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,tsra-r-trace-00014,65,TSRA-R,rule_defense_full,def-00003,defense_event,priority_reroute,eligible=True; ready=True; enabled=True; reason=critical traffic waiting behind video load,linked,before=0.166966; after=0.112487; delta=-0.054479; latency_delta=1.1; trusted_stale_delta=-0.0625; priority_delta=-0.0882081,observed_effect=improved; attribution_class=ablation_supported; attribution_status=pass; primary_metric=priority_inversion_rate,defense_improved,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,tsra-r-trace-00014,65,TSRA-R,rule_defense_full,def-00004,defense_event,video_throttle,eligible=True; ready=True; enabled=True; reason=protect critical traffic capacity,linked,before=0.166966; after=0.112487; delta=-0.054479; latency_delta=1.1; trusted_stale_delta=-0.0625; priority_delta=-0.0882081,observed_effect=improved; attribution_class=local_metric_supported; attribution_status=pass; primary_metric=p95_critical_latency_sec,defense_improved,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,tsra-r-trace-00016,75,TSRA-R,rule_defense_full,def-00005,defense_event,pace_switch,eligible=True; ready=True; enabled=True; reason=SATCOM degraded beyond mission threshold,linked,before=0.170642; after=0.102009; delta=-0.0686333; latency_delta=-0.6; trusted_stale_delta=-0.0625; priority_delta=-0.0605167,observed_effect=improved; attribution_class=bounded_tradeoff_supported; attribution_status=pass; primary_metric=mission_impact,defense_improved,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,tsra-r-trace-00017,80,TSRA-R,rule_defense_full,def-00006,defense_event,stale_badge,eligible=True; ready=True; enabled=True; reason=mark stale COP objects as lower trust,linked,before=0.162583; after=0.0975179; delta=-0.0650655; latency_delta=-0.8; trusted_stale_delta=-0.0625; priority_delta=-0.0507143,observed_effect=improved; attribution_class=ablation_supported; attribution_status=pass; primary_metric=trusted_stale_exposure,defense_improved,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,tsra-r-trace-00021,100,TSRA-R,rule_defense_full,def-00007,defense_event,video_throttle,eligible=True; ready=True; enabled=True; reason=protect critical traffic capacity,linked,before=0.107999; after=0.0840241; delta=-0.023975; latency_delta=-1; trusted_stale_delta=0; priority_delta=-0.0346167,observed_effect=improved; attribution_class=local_metric_supported; attribution_status=pass; primary_metric=p95_critical_latency_sec,defense_improved,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,aura-trace-00012,110,AURA,rule_attack_score,atk-00002,attack_event,queue_pressure,score=0.916763; expected_mission_impact=0.939263; target=LTE; reason=increase non-critical queue occupancy,linked,before=0.0975179@t=110; peak=0.115123; after=0.113727@t=190; delta=0.0162091; peak_latency=2; peak_trusted_stale=0.125; peak_priority_inversion=0.0742857,response=complete; outcome=held near attack-time impact; reduction_from_peak=0.0194333,attack_pressure_observed,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,tsra-r-trace-00026,125,TSRA-R,rule_defense_full,def-00008,defense_event,priority_reroute,eligible=True; ready=True; enabled=True; reason=critical traffic waiting behind video load,linked,before=0.0859692; after=0.0770536; delta=-0.00891563; latency_delta=0; trusted_stale_delta=0; priority_delta=-0.0178313,observed_effect=held; attribution_class=ablation_supported; attribution_status=pass; primary_metric=priority_inversion_rate,defense_held,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,tsra-r-trace-00028,135,TSRA-R,rule_defense_full,def-00009,defense_event,video_throttle,eligible=True; ready=True; enabled=True; reason=protect critical traffic capacity,linked,before=0.0822366; after=0.109699; delta=0.0274619; latency_delta=0; trusted_stale_delta=0.0625; priority_delta=-0.0138263,observed_effect=held; attribution_class=local_metric_supported; attribution_status=pass; primary_metric=p95_critical_latency_sec,defense_held,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,tsra-r-trace-00029,140,TSRA-R,rule_defense_full,def-00010,defense_event,stale_badge,eligible=True; ready=True; enabled=True; reason=mark stale COP objects as lower trust,linked,before=0.08084; after=0.11201; delta=0.0311704; latency_delta=0.45; trusted_stale_delta=0.0625; priority_delta=-0.0124092,observed_effect=degraded_or_delayed; attribution_class=ablation_supported; attribution_status=pass; primary_metric=trusted_stale_exposure,defense_bounded_or_lagged,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,aura-trace-00017,160,AURA,rule_attack_score,atk-00003,attack_event,queue_pressure,score=0.9775; expected_mission_impact=1; target=LTE; reason=increase non-critical queue occupancy,linked,before=0.110655@t=160; peak=0.115123; after=0.0745913@t=240; delta=-0.0360634; peak_latency=2; peak_trusted_stale=0.125; peak_priority_inversion=0.0371429,response=complete; outcome=held near attack-time impact; reduction_from_peak=0.00546539,attack_contained_by_defense,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
