experiment,time_sec,event_id,agent,action,severity,operator_alert,mission_rationale,expected_operator_response,active_link,mission_impact,p95_critical_latency_sec,trusted_stale_exposure,priority_inversion_rate,related_attack_context,decision_trace_reason,safety_boundary
E5_rule_aura_tsra_r,20,def-00001,TSRA-R,stale_badge,medium,COP stale confidence badge active; stale_ratio=0.5.,Stale badge reduces the risk that old COP objects are trusted as current battlefield state.,Treat stale objects as degraded confidence and avoid decisions that rely only on those objects.,SATCOM,0.150417,1,0.125,0.15,near_future; atk-00001; queue_pressure; target=SATCOM,emitted 1 defense event(s),"closed simulation operator alert only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,50,def-00002,TSRA-R,stale_badge,medium,COP stale confidence badge active; stale_ratio=0.5.,Stale badge reduces the risk that old COP objects are trusted as current battlefield state.,Treat stale objects as degraded confidence and avoid decisions that rely only on those objects.,SATCOM,0.169756,1,0.125,0.188679,near_future; atk-00001; queue_pressure; target=SATCOM,emitted 1 defense event(s),"closed simulation operator alert only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,65,def-00003,TSRA-R,priority_reroute,high,Critical traffic is waiting behind lower-priority load.,"Priority reroute protects air-defense alerts, commands, and coordinates from video or telemetry queue pressure.",Accept critical-traffic preemption and monitor P95 critical latency.,SATCOM,0.166966,1,0.125,0.183099,active; atk-00001; queue_pressure; target=SATCOM,emitted 2 defense event(s),"closed simulation operator alert only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,65,def-00004,TSRA-R,video_throttle,medium,Video traffic is being reduced to protect critical capacity.,Temporary video reduction preserves bandwidth for mission-critical messages during degraded SATCOM/PACE conditions.,Expect lower video fidelity while checking that alert and command delivery remains stable.,SATCOM,0.166966,1,0.125,0.183099,active; atk-00001; queue_pressure; target=SATCOM,emitted 2 defense event(s),"closed simulation operator alert only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,75,def-00005,TSRA-R,pace_switch,high,PACE switch selected target=LTE; reason=SATCOM degraded beyond mission threshold.,PACE switching moves critical traffic away from the degraded active link while preserving a bounded recovery path.,Track fallback stability and watch for recovery churn or follow-on failover chasing.,SATCOM,0.170642,2.3,0.125,0.139785,active; atk-00001; queue_pressure; target=SATCOM || near_future; atk-00002; queue_pressure; target=LTE,emitted 1 defense event(s),"closed simulation operator alert only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,80,def-00006,TSRA-R,stale_badge,medium,COP stale confidence badge active; stale_ratio=0.5.,Stale badge reduces the risk that old COP objects are trusted as current battlefield state.,Treat stale objects as degraded confidence and avoid decisions that rely only on those objects.,LTE,0.162583,2.2,0.125,0.125,active; atk-00001; queue_pressure; target=SATCOM || near_future; atk-00002; queue_pressure; target=LTE,emitted 1 defense event(s),"closed simulation operator alert only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,100,def-00007,TSRA-R,video_throttle,medium,Video traffic is being reduced to protect critical capacity.,Temporary video reduction preserves bandwidth for mission-critical messages during degraded SATCOM/PACE conditions.,Expect lower video fidelity while checking that alert and command delivery remains stable.,LTE,0.107999,2,0.0625,0.0872483,active; atk-00001; queue_pressure; target=SATCOM || near_future; atk-00002; queue_pressure; target=LTE,emitted 1 defense event(s),"closed simulation operator alert only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,125,def-00008,TSRA-R,priority_reroute,high,Critical traffic is waiting behind lower-priority load.,"Priority reroute protects air-defense alerts, commands, and coordinates from video or telemetry queue pressure.",Accept critical-traffic preemption and monitor P95 critical latency.,LTE,0.0859692,1,0.0625,0.0565217,active; atk-00001; queue_pressure; target=SATCOM || active; atk-00002; queue_pressure; target=LTE || near_future; atk-00003; queue_pressure; target=LTE,emitted 1 defense event(s),"closed simulation operator alert only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,135,def-00009,TSRA-R,video_throttle,medium,Video traffic is being reduced to protect critical capacity.,Temporary video reduction preserves bandwidth for mission-critical messages during degraded SATCOM/PACE conditions.,Expect lower video fidelity while checking that alert and command delivery remains stable.,LTE,0.0822366,1,0.0625,0.0490566,active; atk-00001; queue_pressure; target=SATCOM || active; atk-00002; queue_pressure; target=LTE || near_future; atk-00003; queue_pressure; target=LTE,emitted 1 defense event(s),"closed simulation operator alert only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,140,def-00010,TSRA-R,stale_badge,medium,COP stale confidence badge active; stale_ratio=0.5.,Stale badge reduces the risk that old COP objects are trusted as current battlefield state.,Treat stale objects as degraded confidence and avoid decisions that rely only on those objects.,LTE,0.08084,1,0.0625,0.0462633,active; atk-00001; queue_pressure; target=SATCOM || active; atk-00002; queue_pressure; target=LTE || near_future; atk-00003; queue_pressure; target=LTE,emitted 1 defense event(s),"closed simulation operator alert only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,170,def-00011,TSRA-R,video_throttle,medium,Video traffic is being reduced to protect critical capacity.,Temporary video reduction preserves bandwidth for mission-critical messages during degraded SATCOM/PACE conditions.,Expect lower video fidelity while checking that alert and command delivery remains stable.,LTE,0.11201,1.45,0.125,0.0338542,active; atk-00002; queue_pressure; target=LTE || active; atk-00003; queue_pressure; target=LTE || near_future; atk-00004; queue_pressure; target=LTE,emitted 2 defense event(s),"closed simulation operator alert only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,170,def-00012,TSRA-R,stale_badge,medium,COP stale confidence badge active; stale_ratio=0.5.,Stale badge reduces the risk that old COP objects are trusted as current battlefield state.,Treat stale objects as degraded confidence and avoid decisions that rely only on those objects.,LTE,0.11201,1.45,0.125,0.0338542,active; atk-00002; queue_pressure; target=LTE || active; atk-00003; queue_pressure; target=LTE || near_future; atk-00004; queue_pressure; target=LTE,emitted 2 defense event(s),"closed simulation operator alert only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,175,def-00013,TSRA-R,priority_reroute,medium,Critical traffic is waiting behind lower-priority load.,"Priority reroute protects air-defense alerts, commands, and coordinates from video or telemetry queue pressure.",Accept critical-traffic preemption and monitor P95 critical latency.,LTE,0.115123,2,0.125,0.0327456,active; atk-00002; queue_pressure; target=LTE || active; atk-00003; queue_pressure; target=LTE || near_future; atk-00004; queue_pressure; target=LTE,emitted 1 defense event(s),"closed simulation operator alert only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,200,def-00014,TSRA-R,priority_reroute,medium,Critical traffic is waiting behind lower-priority load.,"Priority reroute protects air-defense alerts, commands, and coordinates from video or telemetry queue pressure.",Accept critical-traffic preemption and monitor P95 critical latency.,LTE,0.112973,2,0.125,0.0284464,active; atk-00003; queue_pressure; target=LTE || near_future; atk-00004; queue_pressure; target=LTE,emitted 2 defense event(s),"closed simulation operator alert only; no RF, exploit, or live network action"
